title,link,image,description,createdAt,category
Điểm danh tất cả các tính năng mới trên macOS Sequoia 15.1,https://genk.vn/diem-danh-tat-ca-cac-tinh-nang-moi-tren-macos-sequoia-151-20241005095415443.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/5/avatar1728096830554-17280968310451787164312.jpg,"macOS Sequoia 15.1 sẽ ra mắt vào cuối tháng 10, hiệu năng được cải thiện và tích hợp cả Apple Intelligence.",7 ngày trước,Apps/Games
"Cá nhân hóa trải nghiệm bằng công nghệ tiên tiến, Ngân hàng số VIKKI giành giải Ngân hàng Năng động Sáng tạo của năm tại Better Choice Awards 2024",https://genk.vn/ca-nhan-hoa-trai-nghiem-bang-cong-nghe-tien-tien-ngan-hang-so-vikki-gianh-giai-ngan-hang-nang-dong-sang-tao-cua-nam-tai-better-choice-awards-2024-20241004150508889.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/4/image2-17280290216761916109829.jpg,"Chính thức hoạt động từ cuối tháng 7/2024, Ngân hàng Số VIKKI đã nhanh chóng thu hút sự quan tâm và tin tưởng của người dùng nhờ vào những cải tiến đột phá trong công nghệ.",8 ngày trước,Apps/Games
Microsoft ra mắt Office 2024,https://genk.vn/microsoft-ra-mat-office-2024-20241004091833717.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/4/avatar1728008292628-1728008293212983581096.jpg,"Office 2024 đã chính thức ra mắt với hàng loạt nâng cấp dành cho các ứng dụng Word, Excel, PowerPoint, OneNote và Outlook.",8 ngày trước,Apps/Games
"Những thành tựu khó đạt được nhất trong Black Myth: Wukong, không xem YouTube thì khó mà ""qua ải""",https://genk.vn/nhung-thanh-tuu-kho-dat-duoc-nhat-trong-black-myth-wukong-khong-xem-youtube-thi-kho-ma-qua-ai-20241001183043763.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/1/avatar1727782131440-17277821321232129312627.jpg,"Nếu như không có sự trợ giúp từ Internet, các game thủ Black Myth: Wukong sẽ khó lòng vượt qua được những thử thách này.",11 ngày trước,Apps/Games
"Tựa game ""đắt"" nhất trên Steam, mua đủ hết nội dung phải tốn khoảng 250 triệu",https://genk.vn/tua-game-dat-nhat-tren-steam-mua-du-het-noi-dung-phai-ton-khoang-250-trieu-20241001181042786.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/1/avatar1727780966980-17277809686111793626993.png,Thế nhưng đa phần các game thủ Steam đều chẳng bao giờ mua đủ hết nội dung của trò chơi này.,11 ngày trước,Apps/Games
CEO Game Science trả lời hài hước về khả năng Black Myth: Wukong sẽ có thêm DLC,https://genk.vn/ceo-game-science-tra-loi-hai-huoc-ve-kha-nang-black-myth-wukong-se-co-them-dlc-20240930163859643.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/30/avatar1727689078618-17276890790481794550758.png,"Trong lúc chờ, bạn hãy chơi game khác đi!",12 ngày trước,Apps/Games
Sai lầm của nhiều người khi giờ này vẫn còn mua phần mềm diệt virus: Bạn đang phí tiền mà không biết,https://genk.vn/sai-lam-cua-nhieu-nguoi-khi-gio-nay-van-con-mua-phan-mem-diet-virus-ban-dang-phi-tien-ma-khong-biet-20240929082021068.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/29/avatar1727572775326-1727572777290765436905.jpg,"Nếu chỉ là người dùng cá nhân thông thường, phần mềm diệt virus mua thêm là không cần thiết khi các biện pháp hiện có đã đủ an toàn.",13 ngày trước,Apps/Games
Giải pháp sáng tạo của Valve: game Deadlock cho phép người chơi biến đối thủ gian lận thành con ếch,https://genk.vn/giai-phap-sang-tao-cua-valve-game-deadlock-cho-phep-nguoi-choi-bien-doi-thu-gian-lan-thanh-con-ech-20240927105904714.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/27/ava-1727409412097894897775-0-21-338-562-crop-1727409442925256097190.gif,"Valve không hổ danh là nhà phát triển, phát hành game được yêu mến nhất ngành công nghiệp.",15 ngày trước,Apps/Games
Chiêm ngưỡng loạt đồ lưu niệm được bán trong Bảo tàng Nintendo khiến mọi game thủ ước ao,https://genk.vn/chiem-nguong-loat-do-luu-niem-duoc-ban-trong-bao-tang-nintendo-khien-moi-game-thu-uoc-ao-20240926173927203.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/26/avatar1727347121965-17273471221251870798937.jpg,"Dạo một vòng quanh cửa hàng đồ chơi lưu niệm của bảo tàng Nintendo, game thủ nhìn món gì cũng sẽ muốn mua.",16 ngày trước,Apps/Games
Ngự Kiếm Sinh Tồn: Chơi game quét quái tu tiên cứ ngỡ lạc vào tiểu thuyết tiên hiệp,https://genk.vn/ngu-kiem-sinh-ton-choi-game-quet-quai-tu-tien-cu-ngo-lac-vao-tieu-thuyet-tien-hiep-20240926141214724.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/26/avatar1727334741487-1727334742250430201089.png,"Ngự Kiếm Sinh Tồn đã chính thức ra mắt phiên bản open beta từ hôm nay! Trò chơi hiện đã có sẵn trên App Store và Google Play, người chơi có thể tải xuống và trải nghiệm ngay tựa game tu tiên độc đáo này!",16 ngày trước,Apps/Games
