title,link,image,description,createdAt,category
"Siêu ứng dụng MoMo lập ""cú đúp"" tại Better Choice Awards 2024, trở thành thương hiệu tiên phong trong lĩnh vực tài chính số",https://genk.vn/sieu-ung-dung-momo-lap-cu-dup-tai-better-choice-awards-2024-tro-thanh-thuong-hieu-tien-phong-trong-linh-vuc-tai-chinh-so-20241002203243129.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/2/ngang-17278897727331024793032.jpg,"Mang công nghệ để cách mạng hóa ngành tài chính tại Việt Nam, đem đến những trải nghiệm tài chính toàn diện và tiện lợi cho hàng triệu người dùng chính là cách Siêu ứng dụng MoMo tạo nên những đột phá trong lĩnh vực tài chính số.",9 ngày trước,Internet
"Hàng loạt các ""ông lớn"" trong làng công nghệ góp mặt tại thảm đỏ Better Choice Awards 2024",https://genk.vn/hang-loat-cac-ong-lon-trong-lang-cong-nghe-gop-mat-tai-tham-do-better-choice-awards-2024-20241002192823097.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/2/dsc04325-1727871956768607246227-0-0-1880-3008-crop-17278719715521160355900.jpg,"Đêm Gala Better Choice Awards 2024 sắp sửa bắt đầu, thu hút sự chú ý của đông đảo giới chuyên môn và những người yêu công nghệ trên khắp đất nước.",9 ngày trước,Internet
"Không chỉ dừng lại ở ảnh, tính năng Circle to Search sẽ sớm có khả năng tìm cả video",https://genk.vn/khong-chi-dung-lai-o-anh-tinh-nang-circle-to-search-se-som-co-kha-nang-tim-ca-video-20241002100925787.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/2/avatar1727838531736-17278385322731963047783.png,Google đang phát triển một công cụ tìm kiếm mới có khả năng tìm kiếm thông tin trong video.,10 ngày trước,Internet
Lễ hội quốc tế Khoa học Công nghệ và Đổi mới sáng tạo thành phố Thủ Đức lần đầu tiên được tổ chức: Mang trải nghiệm công nghệ đột phá đến gần hơn với nhân dân,https://genk.vn/le-hoi-quoc-te-khoa-hoc-cong-nghe-va-doi-moi-sang-tao-thanh-pho-thu-duc-lan-dau-tien-duoc-to-chuc-mang-trai-nghiem-cong-nghe-dot-pha-den-gan-hon-voi-nhan-dan-20241001153404998.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/1/thu-duc-innovation-fest-1727771538934653377754-0-17-1620-2609-crop-1727771544299630712148.jpg,"Cùng với đó, lễ hội này cũng sẽ là không gian sáng tạo dành cho học sinh, sinh viên cũng như các nhóm doanh nghiệp, khởi nghiệp trong và ngoài nước trong việc giao lưu, học hỏi và phát triển sản phẩm, tìm kiếm cơ hội.",11 ngày trước,Tin ICT
Người đàn ông bị mất hơn 500 triệu đồng vì bị lừa làm căn cước trực tuyến cho con,https://genk.vn/nguoi-dan-ong-bi-mat-hon-500-trieu-dong-vi-bi-lua-lam-can-cuoc-truc-tuyen-cho-con-20240930142841213.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/30/screenshot-2024-06-17-054416-35942391121544455499906-12640898459881232635057-17276811906991191485841.png,"Người đàn ông ở quận Cầu Giấy, Hà Nội bị đối tượng giả danh công an gọi điện làm căn cước trực tuyến cho con và sau đó bị lừa mất 500 triệu đồng.",12 ngày trước,Internet
"Lừa đảo trực tuyến thông qua game online ""biến tướng"" dưới nhiều hình thức",https://genk.vn/lua-dao-truc-tuyen-thong-qua-game-online-bien-tuong-duoi-nhieu-hinh-thuc-20240929160538468.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/29/avatar1727600699435-17276006996141046423442.jpg,"VOV.VN - Với số lượng lớn người chơi trò chơi trực tuyến (game online) tại Việt Nam, các đối tượng xấu đang sử dụng nhiều hình thức lừa đảo ""biến tướng"" nhằm chiếm đoạt tài sản của nạn nhân.",13 ngày trước,Internet
"AI khôi phục chân dung các nhân vật nổi tiếng Trung Quốc gây ngỡ ngàng: Tào Tháo, Tần Thuỷ Hoàng khác xa tưởng tượng, Trương Phi khiến người nhìn hoảng sợ",https://genk.vn/ai-khoi-phuc-chan-dung-cac-nhan-vat-noi-tieng-trung-quoc-gay-ngo-ngang-tao-thao-tan-thuy-hoang-khac-xa-tuong-tuong-truong-phi-khien-nguoi-nhin-hoang-so-20240928145211287.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/28/avatar1727509892492-17275098929631771445157.jpg,Những nhân vật nổi tiếng trong lịch sử Trung Hoa có diện mạo ra sao? Liệu họ có giống như trong sách vẫn miêu tả? Câu trả lời sẽ được AI giải đáp.,14 ngày trước,Internet
Google tuyên chiến nạn review giả trên Google Maps,https://genk.vn/google-tuyen-chien-nan-review-gia-tren-google-maps-20240926121749167.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/26/doanh-nghiep-tren-google-maps-1700x956-1727319584252206784530-202-0-956-1205-crop-1727319596798173014941-1727327828266-1727327-1-0-479-764-crop-1727327844373992134030.jpg,Doanh nghiệp có hành vi review giả trên Google Maps sẽ bị Google đưa ra những biện pháp xử lý.,16 ngày trước,Internet
"Ra mắt ứng dụng tải hình nền tính phí cả triệu đồng, YouTuber nổi tiếng MKBHD bị CĐM chỉ trích",https://genk.vn/ra-mat-ung-dung-tai-hinh-nen-tinh-phi-ca-trieu-dong-youtuber-noi-tieng-mkbhd-bi-cdm-chi-trich-20240925154901822.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/25/mkbhd-panels-17272541067922086591296-72-134-695-1131-crop-17272541132011238440603.jpeg,MKBHD sau đó đã chính thức lên tiếng phản hồi những ý kiến tiêu cực của cộng đồng mạng.,17 ngày trước,Internet
"YouTube Premium lại tăng giá ở một loạt quốc gia, người dùng tính hủy đăng ký",https://genk.vn/youtube-premium-lai-tang-gia-o-mot-loat-quoc-gia-nguoi-dung-tinh-huy-dang-ky-20240923091245494.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/9/23/avatar1727057545618-1727057546247137825727.png,"Mới đây tại một số quốc gia, Google đã gửi thông báo tăng giá gói YouTube Premium và nhận về rất nhiều phản hồi tiêu cực từ phía người dùng.",19 ngày trước,Internet
