title,link,image,description,createdAt,category
"Cận cảnh máy lọc không khí SHARP Purefit mini: Kích thước gọn gàng, màu sắc nhẹ nhàng, đặc biệt công nghệ Plasmacluster ion diệt khuẩn ""vô đối""",https://genk.vn/can-canh-may-loc-khong-khi-sharp-purefit-mini-kich-thuoc-gon-gang-mau-sac-nhe-nhang-dac-biet-cong-nghe-plasmacluster-ion-diet-khuan-vo-doi-20241011092623963.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/11/imgp3373-enhanced-nr-1728613395399629774618-68-0-1348-2048-crop-1728613407749171294829.jpg,"Với mức giá khoảng 4 triệu đồng, đây là một lựa chọn khá thích hợp trong không gian phòng ở của gia đình Việt.",1 ngày trước,Xem - Mua - Luôn
Dock sạc 3 trong 1 gấp gọn giá chỉ 900.000đ siêu hợp với ai có đủ combo iPhone - AirPods - Apple Watch,https://genk.vn/dock-sac-3-trong-1-gap-gon-gia-chi-900000d-sieu-hop-voi-ai-co-du-combo-iphone-airpods-apple-watch-20241011002625974.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/l1190435-1728579180094639562142-71-0-1351-2048-crop-172858110809865492710.jpg,"Dock sạc WIWU Planeta Trio 3in1 Wi-W031 là 1 trong những lựa chọn sạc không dây đa năng gọn nhẹ, tiện lợi cho những tín đồ của hệ sinh thái Apple.",1 ngày trước,Xem - Mua - Luôn
"Loạt sạc nhanh cho người dùng iPhone 16: Giá rẻ chỉ từ 86.000 đồng, công suất cao, thiết kế lại còn đẹp",https://genk.vn/loat-sac-nhanh-cho-nguoi-dung-iphone-16-gia-re-chi-tu-86000-dong-cong-suat-cao-thiet-ke-lai-con-dep-20241010154043989.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/genk-ugreen-20w-14-17284923762331643851609-0-25-1244-2016-crop-17285495152511173708891.jpg,"Mua iPhone xong phải tham khảo ngay loạt củ sạc nhanh thiết kế nhỏ gọn, đẹp, công suất sạc đủ dùng mà giá thì siêu rẻ.",1 ngày trước,Xem - Mua - Luôn
"Loạt đồ hay đang sale: Tai nghe trong suốt, máy chiếu mini, máy ảnh vintage... mua làm quà 20/10 cũng hết nấc",https://genk.vn/loat-do-hay-dang-sale-tai-nghe-trong-suot-may-chieu-mini-may-anh-vintage-mua-lam-qua-20-10-cung-het-nac-20241010214218038.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728571098005-17285710995941078030782.png,"Nhân dịp đang có nhiều voucher, bạn có thể tranh thủ săn quà 20/10 với giá hời.",1 ngày trước,Xem - Mua - Luôn
"Giày Nike, adidas... giảm sâu, cầm chưa tới 500.000 đồng đã săn được hàng Việt xịn sò",https://genk.vn/giay-nike-adidas-giam-sau-cam-chua-toi-500000-dong-da-san-duoc-hang-viet-xin-so-20241010105441687.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728532252311-17285322525881767305887.png,"14 deal giảm giá hấp dẫn từ Li-ning, adidas, Nike, Columbia Crestwood™, thương hiệu giày Việt RieNevan...",2 ngày trước,Xem - Mua - Luôn
2 nâng cấp tưởng nhỏ nhưng thay đổi hoàn toàn trải nghiệm sử dụng máy tính của tôi,https://genk.vn/2-nang-cap-tuong-nho-nhung-thay-doi-hoan-toan-trai-nghiem-su-dung-may-tinh-cua-toi-2024100922024626.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/image12-17284617898121095882242-0-96-1143-1925-crop-1728461834165774487986-1728485841003-172848584136027591000-0-0-477-763-crop-1728485886357453978241.png,Nhiều năm mới bỏ tiền ra nâng cấp thì chọn đồ ‘xịn’ cho đáng!,2 ngày trước,Xem - Mua - Luôn
"10 deal ""ngon"" ngày đôi 10/10: Bơm điện xe đạp giảm 40%, sạc 65W siêu mỏng 390.000đ, đồng hồ Amazfit giảm 67%",https://genk.vn/10-deal-ngon-ngay-doi-10-10-bom-dien-xe-dap-giam-40-sac-65w-sieu-mong-390000d-dong-ho-amazfit-giam-67-20241010032247318.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/cleanshot-2024-10-10-at-310302x-17285052951221548471182-240-0-946-1130-crop-17285053003441271018166.jpg,"2 sàn TMĐT lớn đều đang đua nhau ""nổ sale"" ngày đôi 10/10, mời anh em ngắm qua 1 loại phụ kiện, đồ chơi công nghệ và đồ dùng cá nhân này nhé.",2 ngày trước,Xem - Mua - Luôn
"Ngày đôi ""Sale chiến siêu rẻ"": Loạt đồ dùng công nghệ từ điện thoại, vòng thông minh đến xe đạp điện đều giảm mạnh",https://genk.vn/ngay-doi-sale-chien-sieu-re-loat-do-dung-cong-nghe-tu-dien-thoai-vong-thong-minh-den-xe-dap-dien-deu-giam-manh-20241010012439026.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/egqewrgrfgbnsrgnt-17284981419591581637724-0-102-715-1246-crop-1728498147167379737228.jpg,"Huawei Watch GT5, xe đạp điện Yadea và nhiều món đồ hay ho khác đang chờ anh em ""tậu"" về trong dịp sale 10/10 này.",2 ngày trước,Xem - Mua - Luôn
"Deal 10/10 ngập tràn: Tai nghe JBL 240.000đ, cổng sạc nhanh 129.000đ, thiết bị định vị Xiaomi 199.000đ...",https://genk.vn/deal-10-10-ngap-tran-tai-nghe-jbl-240000d-cong-sac-nhanh-129000d-thiet-bi-dinh-vi-xiaomi-199000d-2024100917012787.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/avatar1728467722945-1728467723343496035633.png,"Đồng hồ thông minh Samsung, máy cạo râu Philips, cổng sạc Ugreen... cũng được giảm sâu dịp này.",3 ngày trước,Xem - Mua - Luôn
"Đây là trạm sạc 140W siêu nhỏ gọn, thiết kế đẹp, tích hợp sạc không dây và đèn LED",https://genk.vn/day-la-tram-sac-140w-sieu-nho-gon-thiet-ke-dep-tich-hop-sac-khong-day-va-den-led-20241009164216894.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/genk-pisen-aurora-ganultra-all-in-one-charger-140w-14-1728465256175824181026-0-93-1215-2037-crop-1728466806425620239747.jpg,"Một giải pháp sạc nhanh ""all in one"" tới từ thương hiệu Pisen.",3 ngày trước,Xem - Mua - Luôn
"Săn sale Xiaomi 14T series: Ngày 10/10 siêu giảm giá chỉ còn từ 11 triệu đồng, tặng kèm cả sạc nhanh 67W",https://genk.vn/san-sale-xiaomi-14t-series-ngay-10-10-sieu-giam-gia-chi-con-tu-11-trieu-dong-tang-kem-ca-sac-nhanh-67w-20241009121147364.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/cover-sale-xiaomi-14t-17284506068311020285983-0-106-1152-1949-crop-17284506143841774400148.jpg,"Trong dịp sale lớn ngày 10/10 tới đây, Xiaomi 14T series giảm giá sốc chỉ còn từ 11 triệu đồng trên Shopee.",3 ngày trước,Xem - Mua - Luôn
Amazon Global Selling Việt Nam công bố trọng tâm chiến lược 2025 tại Hội nghị Thương mại điện tử Xuyên biên giới 2024,https://genk.vn/amazon-global-selling-viet-nam-cong-bo-trong-tam-chien-luoc-2025-tai-hoi-nghi-thuong-mai-dien-tu-xuyen-bien-gioi-2024-20241009151937319.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/hinh-6-1728459543599503979835-0-0-1600-2560-crop-1728461377949762366886.jpeg,Amazon Global Selling Việt Nam vừa công bố trọng tâm chiến lược 2025 nhằm thúc đẩy xuất khẩu trực tuyến và nâng cao năng lực cạnh tranh toàn cầu cho các doanh nghiệp Việt Nam.,3 ngày trước,Xem - Mua - Luôn
Bộ phụ kiện vệ sinh đồ công nghệ 20-in-1 giá 150.000đ xứng đáng có trên bàn làm việc bất kì ai,https://genk.vn/bo-phu-kien-ve-sinh-do-cong-nghe-20-in-1-gia-150000d-xung-dang-co-tren-ban-lam-viec-bat-ki-ai-20241009002248451.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/8/-kien-ve-sinh-q20-20-trong-1-lucas-combo-webuy-genk-l1190442-17284073253801606175767-1728407967811-1728407967902305132571-42-130-678-1147-crop-17284080852362057902693.jpg,"Thiết kế tiện lợi, đẹp mắt, công năng đa dạng, tích hợp 20 món trong 1 mà giá chỉ bằng 3 bát phở, bộ phụ kiện vệ sinh này chắc chắn là thứ đáng mua về dùng.",3 ngày trước,Xem - Mua - Luôn
"9 món đồ mua càng sớm càng tốt: Việc nhà nhàn tênh, làm ít mà hiệu quả",https://genk.vn/9-mon-do-mua-cang-som-cang-tot-viec-nha-nhan-tenh-lam-it-ma-hieu-qua-20241008195542835.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/8/avatar1728391760552-17283917625601950895343.png,Những món đồ mà bạn sẽ ước mình biết sớm hơn.,4 ngày trước,Xem - Mua - Luôn
"Đây là 3 robot hút bụi, lau nhà ""siêu cấp đắt tiền"" ngót nghét 30 triệu: Chất lượng xứng tầm, dọn dẹp nhanh gọn lại có cả AI",https://genk.vn/day-la-3-robot-hut-bui-lau-nha-sieu-cap-dat-tien-ngot-nghet-30-trieu-chat-luong-xung-tam-don-dep-nhanh-gon-lai-co-ca-ai-20241008144520786.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/8/egqaeg-17283717767112018038350-0-98-1440-2402-crop-1728373373842786685295.jpg,"Nếu sẵn sàng chi đến 30 triệu để mua robot hút bụi lau nhà, đây là những gì bạn sẽ nhận lại.",4 ngày trước,Xem - Mua - Luôn
