title,link,image,description,createdAt,category
"Trên tay sạc Satechi 3-in-1 Foldable Qi2: Nhỏ gọn, thiết kế đẹp, sạc 'sạch' hệ sinh thái di động của Apple trong 1 lần",https://genk.vn/tren-tay-sac-satechi-3-in-1-foldable-qi2-nho-gon-thiet-ke-dep-sac-sach-he-sinh-thai-di-dong-cua-apple-trong-1-lan-20241011135710938.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/11/satechi-3in1-qi2-10-1728625807112109614283-85-0-1365-2048-crop-17286258341301497687236-1728629720459-1728629722199124730517-0-0-477-764-crop-17286297504011577969514.jpg,"Với thiết kế đẹp và tính tiện dụng, bộ sạc này có giá bán nằm ở mức cao cấp là 3.490.000 Đồng.",22 giờ trước,Đồ chơi số
"Optimus - Robot hình người của Elon Musk lần đầu lộ diện trước công chúng: Có khả năng ""làm mọi thứ"", giá từ 20.000 đến 30.000 USD",https://genk.vn/optimus-robot-hinh-nguoi-cua-elon-musk-lan-dau-lo-dien-truoc-cong-chung-co-kha-nang-lam-moi-thu-gia-tu-20000-den-30000-usd-20241011135556004.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/11/oid-optimus-showcased-at-the-we-robot-event-114848435-16x90-1-17286281901981040462365-0-87-675-1167-crop-17286281936021995059822-1728629708817-1728629711953500258485.jpeg,"Elon Musk kỳ vọng Optimus ""sẽ có tác động sâu rộng đến nền văn minh"".",22 giờ trước,Đồ chơi số
"Intel Core Ultra 200S ra mắt: Cân bằng sức mạnh, giảm gánh nặng tiền điện cho ví của bạn",https://genk.vn/intel-core-ultra-200s-ra-mat-can-bang-suc-manh-giam-ganh-nang-tien-dien-cho-vi-cua-ban-20241011105537879.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/11/avatar1728618775551-17286187761841262516241.jpg,"Intel đã chính thức ra mắt dòng vi xử lý cho máy bàn Core Ultra 200S mới, tập trung vào hiệu suất trên mỗi watt để chạy mát hơn và hiệu quả hơn so với các chip thế hệ thứ 14 trước. Có tên mã Arrow Lake S, đây cũng là CPU máy bàn đầu tiên của Intel có NPU tích hợp để tăng tốc các tác vụ AI.",1 ngày trước,Đồ chơi số
"Loạt sạc nhanh cho người dùng iPhone 16: Giá rẻ chỉ từ 86.000 đồng, công suất cao, thiết kế lại còn đẹp",https://genk.vn/loat-sac-nhanh-cho-nguoi-dung-iphone-16-gia-re-chi-tu-86000-dong-cong-suat-cao-thiet-ke-lai-con-dep-20241010154043989.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/genk-ugreen-20w-14-17284923762331643851609-0-25-1244-2016-crop-17285495152511173708891.jpg,"Mua iPhone xong phải tham khảo ngay loạt củ sạc nhanh thiết kế nhỏ gọn, đẹp, công suất sạc đủ dùng mà giá thì siêu rẻ.",1 ngày trước,Đồ chơi số
"Vivo X200 Pro Mini: Rò rỉ cấu hình khủng, kích thước tương đồng iPhone 16 Pro",https://genk.vn/vivo-x200-pro-mini-ro-ri-cau-hinh-khung-kich-thuoc-tuong-dong-iphone-16-pro-20241010162945755.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728552559647-17285525601651763460042.png,"Rò rỉ thông tin trước ngày ra mắt của Vivo X200 Pro Mini có thiết kế nhỏ gọn, màu sắc trẻ trung và cấu hình mạnh mẽ.",2 ngày trước,Đồ chơi số
Microsoft Office 2024: Mọi thứ cần biết trước khi mua bản quyền vĩnh viễn,https://genk.vn/microsoft-office-2024-moi-thu-can-biet-truoc-khi-mua-ban-quyen-vinh-vien-20241010162803866.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728552440734-17285524415072096696309.png,"Microsoft Office 2024 là phiên bản sử dụng vĩnh viễn với 1 lần trả phí duy nhất, bao gồm rất nhiều tính năng mới hữu ích.",2 ngày trước,Đồ chơi số
Galaxy S24 FE và Galaxy A55: Chênh lệch 7 triệu đồng liệu có xứng đáng?,https://genk.vn/galaxy-s24-fe-va-galaxy-a55-chenh-lech-7-trieu-dong-lieu-co-xung-dang-20241010140421979.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728543843101-1728543843746746394299.png,Galaxy S24 FE là mẫu smartphone tốt hơn Galaxy A55 ở hầu hết mọi khía cạnh.,2 ngày trước,Đồ chơi số
"Trải nghiệm laptop AI ASUS Zenbook S 14: Intel quay trở lại cuộc đua với Lunar Lake, thời lượng pin đáng nể, GPU tích hợp mạnh mẽ",https://genk.vn/trai-nghiem-laptop-ai-asus-zenbook-s-14-intel-quay-tro-lai-cuoc-dua-voi-lunar-lake-thoi-luong-pin-dang-ne-gpu-tich-hop-manh-me-20241010105627377.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/l1190504-1728530592110501323357-29-54-1262-2027-crop-1728530602523997558151-1728532504164-17285325045771722112897-0-0-477-763-crop-1728532533598160810728.jpg,ASUS Zenbook S 14 là một trong những laptop đầu tiên sử dụng CPU Core Ultra Series 2 (Lunar Lake) và những gì thiết bị này mang đến thật sự rất ấn tượng.,2 ngày trước,Đồ chơi số
2 nâng cấp tưởng nhỏ nhưng thay đổi hoàn toàn trải nghiệm sử dụng máy tính của tôi,https://genk.vn/2-nang-cap-tuong-nho-nhung-thay-doi-hoan-toan-trai-nghiem-su-dung-may-tinh-cua-toi-2024100922024626.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/9/image12-17284617898121095882242-0-96-1143-1925-crop-1728461834165774487986-1728485841003-172848584136027591000-0-0-477-763-crop-1728485886357453978241.png,Nhiều năm mới bỏ tiền ra nâng cấp thì chọn đồ ‘xịn’ cho đáng!,2 ngày trước,Đồ chơi số
Laptop AI cao cấp cho giới văn phòng: Zenbook S 14 - Copilot+ PC Intel với 120 TOPs,https://genk.vn/laptop-ai-cao-cap-cho-gioi-van-phong-zenbook-s-14-copilot-pc-intel-voi-120-tops-20241010100021808.chn,https://genk.mediacdn.vn/zoom/260_162/139269124445442048/2024/10/10/avatar1728529242699-1728529247979856260851.png,Laptop Zenbook S 14 là thế hệ Copilot+ PC tiên phong được trang bị chip Intel Series 2 cùng thiết kế siêu mỏng nhẹ với lớp phủ nhôm gốm ASUS Ceraluminum™.,2 ngày trước,Đồ chơi số
